gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,,,,,,,,,,,,,,,,,,,
EVI5,-2.746503955,0.898093478,-3.290469356,0.003703252,0.096125412,-1.764579782,,,,,,,,,,,,,,,,,,,
F11,-2.999961785,0.545330435,-3.000834461,0.007134077,0.096125412,-2.31365585,,,,,,,,,,,,,,,,,,,
F12,-3.027113345,1.484943478,-2.719943061,0.013289907,0.096125412,-2.831706207,,,,,,,,,,,,,,,,,,,
F13B,-3.398715773,0.796186957,-3.205443184,0.004494715,0.096125412,-1.926985939,,,,,,,,,,,,,,,,,,,
F2,-2.367527019,1.884121739,-2.830285623,0.010428407,0.096125412,-2.630272302,,,,,,,,,,,,,,,,,,,
FADD,-2.501480987,6.426191304,-3.171195435,0.004858148,0.096125412,-1.992143204,,,,,,,,,,,,,,,,,,,
FAM13A,-2.677203941,3.893769565,-2.962685081,0.007770044,0.096125412,-2.384979663,,,,,,,,,,,,,,,,,,,
FAM172A,-2.846312803,1.228926087,-2.81130929,0.010874509,0.096125412,-2.665120025,,,,,,,,,,,,,,,,,,,
FARSA,-4.177927062,3.589054348,-3.319604199,0.003464761,0.096125412,-1.708738456,,,,,,,,,,,,,,,,,,,
FCN1,-6.373911177,-2.096026087,-3.271716776,0.00386517,0.096125412,-1.80047242,,,,,,,,,,,,,,,,,,,
FCN2,-4.636326664,-6.014552174,-3.753931473,0.001273163,0.096125412,-0.868579812,,,,,,,,,,,,,,,,,,,
FETUB,-3.000198988,-6.626558696,-3.096155209,0.005757196,0.096125412,-2.134328248,,,,,,,,,,,,,,,,,,,
FGA,-2.636619725,-0.51986087,-3.324246699,0.003428174,0.096125412,-1.699832061,,,,,,,,,,,,,,,,,,,
FGD3,-6.446127575,-2.140536957,-4.552734457,0.000199371,0.096125412,0.677893875,,,,,,,,,,,,,,,,,,,
FGFBP1,-3.738103797,-2.80261087,-2.697886716,0.0139453,0.096125412,-2.871608624,,,,,,,,,,,,,,,,,,,
FGL1,-3.958696427,-0.275671739,-3.099382017,0.005715411,0.096125412,-2.128231541,,,,,,,,,,,,,,,,,,,
FLT4,-2.669407836,-3.136595652,-2.856076304,0.009850123,0.096125412,-2.582781048,,,,,,,,,,,,,,,,,,,
FNTA,-2.143914862,4.198971739,-2.718264673,0.013338731,0.096125412,-2.834747023,,,,,,,,,,,,,,,,,,,
FOXO1,-2.757416179,0.951593478,-2.947326432,0.008041224,0.096125412,-2.413616756,,,,,,,,,,,,,,,,,,,
FOXO3,-3.186257779,-4.007634783,-3.128580672,0.005350457,0.096125412,-2.072991112,,,,,,,,,,,,,,,,,,,
FTCD,-4.878165147,-2.739758696,-4.651147082,0.000158845,0.096125412,0.865747251,,,,,,,,,,,,,,,,,,,
FYB1,-3.757534002,-0.30425,-2.708418901,0.013628599,0.096125412,-2.852570463,,,,,,,,,,,,,,,,,,,
GAS2,-3.892402425,1.045269565,-2.784186843,0.011543909,0.096125412,-2.714782401,,,,,,,,,,,,,,,,,,,
GBP1,-4.956695791,3.161595652,-2.919854699,0.008549174,0.096125412,-2.464724544,,,,,,,,,,,,,,,,,,,
GH1,-3.063412559,0.980143478,-2.68139282,0.014455353,0.096125412,-2.901364608,,,,,,,,,,,,,,,,,,,
GH2,-3.340293536,-6.04206087,-2.822249132,0.010615151,0.096125412,-2.64504036,,,,,,,,,,,,,,,,,,,
GIMAP7,-4.555962809,0.798513043,-3.452952387,0.002551906,0.096125412,-1.452104608,,,,,,,,,,,,,,,,,,,
GIMAP8,-3.41224323,-1.283034783,-3.048094335,0.006415723,0.096125412,-2.224936695,,,,,,,,,,,,,,,,,,,
GIPC2,-3.052869516,1.009034783,-3.643824836,0.001642989,0.096125412,-1.082515967,,,,,,,,,,,,,,,,,,,
GLRX5,-4.437816778,4.848236957,-2.937846848,0.008213126,0.096125412,-2.431269191,,,,,,,,,,,,,,,,,,,
GMPR,-2.615422178,3.188808696,-2.857657228,0.009815694,0.096125412,-2.579865141,,,,,,,,,,,,,,,,,,,
GMPR2,-0.995966183,8.83666087,-2.747586521,0.012509821,0.096125412,-2.781520341,,,,,,,,,,,,,,,,,,,
GOLGA3,-2.43161702,4.511223913,-3.061207083,0.006229147,0.096125412,-2.200252848,,,,,,,,,,,,,,,,,,,
GOT1,0.692075748,6.544332609,2.783426297,0.011563236,0.096125412,-2.716172495,,,,,,,,,,,,,,,,,,,
