Row,FC_ad_adnc,log10 LFC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,,
BOLA1,0.38924879,-0.409772729,-1.394182364,0.179353764,,,,,,,,,,,,,,,,
BOLA2_BOLA2B,0.723071682,-0.140818647,-1.093042299,0.288040723,,,,,,,,,,,,,,,,
BPIFA2,1.156265711,0.063057647,0.937929352,0.360051487,,,,,,,,,,,,,,,,
BPIFB1,1.616029483,0.20844928,-0.674795448,0.507934572,,,,,,,,,,,,,,,,
BPIFB2,2.936811622,0.46787609,-0.239921802,0.81296029,,,,,,,,,,,,,,,,
BRAP,0.346139814,-0.460748444,-0.978725136,0.340014267,,,,,,,,,,,,,,,,
BRD1,1.226085921,0.088520905,-0.644446206,0.526990747,,,,,,,,,,,,,,,,
BRD2,0.363300007,-0.439734594,-1.190978593,0.248328675,,,,,,,,,,,,,,,,
BRD3,0.468543448,-0.329250131,0.135900214,0.893329709,,,,,,,,,,,,,,,,
BRDT,0.742410062,-0.129356151,-1.062870054,0.301164004,,,,,,,,,,,,,,,,
BRK1,0.467653644,-0.330075677,-0.792777741,0.437695282,,,,,,,,,,,,,,,,
BRME1,0.74109222,-0.130127746,-1.039431936,0.311651359,,,,,,,,,,,,,,,,
BRSK2,0.560193202,-0.251662166,-1.027170112,0.317240454,,,,,,,,,,,,,,,,
BSG,0.759037864,-0.119736559,-0.922662442,0.367752203,,,,,,,,,,,,,,,,
BSND,0.994104754,-0.002567849,0.525485021,0.605325157,,,,,,,,,,,,,,,,
BST1,0.738464431,-0.131670418,-0.303068425,0.765131042,,,,,,,,,,,,,,,,
BST2,0.394519883,-0.403931104,-0.823342629,0.420527963,,,,,,,,,,,,,,,,
BTC,0.657286039,-0.182245592,-1.962732749,0.064488508,,,,,,,,,,,,,,,,
BTD,1.145497758,0.058994244,0.848699987,0.40661438,,,,,,,,,,,,,,,,
BTLA,0.653535567,-0.184730772,-1.137923085,0.269299003,,,,,,,,,,,,,,,,
