,FC_ad_adnc,LOG10 FC,t_ad_adnc,p_ad_adnc,,,,,,,,,,,,,,,
CIDEB,1.015014137,0.006472091,0.33792437,0.741258424,,,,,,,,,,,,,,,
NTRK2,0.885830112,-0.052649561,-0.915651873,0.377882853,,,,,,,,,,,,,,,
TSEN15,0.68243041,-0.165941629,-3.202948118,0.007590895,,,,,,,,,,,,,,,
TOPAZ1,1.10035297,0.04153202,1.216172275,0.24730134,,,,,,,,,,,,,,,
PC,1.122315408,0.050114925,0.988550809,0.342397216,,,,,,,,,,,,,,,
IMP4,0.896222982,-0.047583923,-2.428384074,0.031826345,,,,,,,,,,,,,,,
CYP4V2,0.683036749,-0.16555593,-2.006792509,0.067841369,,,,,,,,,,,,,,,
AGFG2,1.296426671,0.112747957,0.875601814,0.398434365,,,,,,,,,,,,,,,
CTSZ,0.702016121,-0.153652915,-2.087005604,0.058887176,,,,,,,,,,,,,,,
NTN4,1.036994625,0.015776506,0.269084099,0.792435676,,,,,,,,,,,,,,,
FLNA,0.972930455,-0.011918202,0.165650306,0.871190194,,,,,,,,,,,,,,,
GRXCR2,0.974751386,-0.011106138,-0.498353168,0.627243467,,,,,,,,,,,,,,,
CTSS,0.696842965,-0.15686508,-2.046526531,0.063258346,,,,,,,,,,,,,,,
SLC27A2,0.844152235,-0.073579225,-1.864582373,0.086874979,,,,,,,,,,,,,,,
TAF9B,1.047349597,0.02009167,0.730433448,0.479143799,,,,,,,,,,,,,,,
TSPY26P,1.190432529,0.075704785,3.512876115,0.004279185,,,,,,,,,,,,,,,
IGF1R,1.011113539,0.004799926,-0.351106191,0.731595886,,,,,,,,,,,,,,,
FGG,0.639530099,-0.194139011,-1.231161962,0.241846798,,,,,,,,,,,,,,,
SYNJ2BP,1.161780876,0.065124223,1.454443485,0.171475885,,,,,,,,,,,,,,,
