gene,GO Focus function
EMX1,Development (differentiation)
EMX2,Development (differentiation)
EN1,Development (differentiation)
EN2,Development (differentiation)
EOMES,Development (differentiation)
ERBB2,Development (differentiation)
ERBB3,Development (differentiation)
ERBB4,Development (differentiation)
ERG,Development (differentiation)
ETS1,Development (differentiation)
ETS2,Development (differentiation)
ETV1,Development (differentiation)
ETV2,Development (differentiation)
ETV3,Development (differentiation)
ETV4,Development (differentiation)
ETV5,Development (differentiation)
ETV6,Development (differentiation)
ETV7,Development (differentiation)
EVC,Development (differentiation)
EVC2,Development (differentiation)
EVI2B,Development (differentiation)
EVPL,Development (differentiation)
EVPLL,Development (differentiation)
EVX1,Development (differentiation)
EYA1,Development (differentiation)
EYA2,Development (differentiation)
EYA3,Development (differentiation)
EYA4,Development (differentiation)
FAM124A,Development (differentiation)
FAM124B,Development (differentiation)
FAM133B,Development (differentiation)
FEV,Development (differentiation)
FEZ1,Development (differentiation)
FEZ2,Development (differentiation)
FEZF1,Development (differentiation)
FEZF2,Development (differentiation)
FGF1,Development (differentiation)
FGF10,Development (differentiation)
FGF11,Development (differentiation)
FGF12,Development (differentiation)
FGF13,Development (differentiation)
FGF14,Development (differentiation)
FGF16,Development (differentiation)
FGF17,Development (differentiation)
FGF18,Development (differentiation)
FGF19,Development (differentiation)
FGF2,Development (differentiation)
FGF20,Development (differentiation)
FGF21,Development (differentiation)
FGF22,Development (differentiation)
FGF23,Development (differentiation)
FGF3,Development (differentiation)
FGF4,Development (differentiation)
FGF5,Development (differentiation)
FGF6,Development (differentiation)
FGF7,Development (differentiation)
FGF8,Development (differentiation)
FGF9,Development (differentiation)
FLT1,Development (differentiation)
FLT3,Development (differentiation)
FOXA1,Development (differentiation)
FOXA2,Development (differentiation)
FOXA3,Development (differentiation)
FOXB1,Development (differentiation)
FOXC1,Development (differentiation)
FOXC2,Development (differentiation)
FOXCUT,Development (differentiation)
FOXD1,Development (differentiation)
FOXD2,Development (differentiation)
FOXD3,Development (differentiation)
FOXE1,Development (differentiation)
FOXE3,Development (differentiation)
FOXF1,Development (differentiation)
FOXF2,Development (differentiation)
FOXG1,Development (differentiation)
FOXH1,Development (differentiation)
FOXI1,Development (differentiation)
FOXJ1,Development (differentiation)
FOXJ2,Development (differentiation)
FOXJ3,Development (differentiation)
FOXK1,Development (differentiation)
FOXK2,Development (differentiation)
FOXL1,Development (differentiation)
FOXL2,Development (differentiation)
FOXL2NB,Development (differentiation)
FOXN1,Development (differentiation)
FOXN2,Development (differentiation)
FOXN3,Development (differentiation)
FOXN3-AS1,Development (differentiation)
FOXN4,Development (differentiation)
FOXO1,Development (differentiation)
FOXO3,Development (differentiation)
FOXO4,Development (differentiation)
FOXO6,Development (differentiation)
FOXP1,Development (differentiation)
FOXP2,Development (differentiation)
FOXP3,Development (differentiation)
FOXP4,Development (differentiation)
FOXQ1,Development (differentiation)
FOXR1,Development (differentiation)
FOXRED1,Development (differentiation)
FOXRED2,Development (differentiation)
FOXS1,Development (differentiation)
FZD1,Development (differentiation)
FZD10,Development (differentiation)
FZD2,Development (differentiation)
FZD3,Development (differentiation)
FZD4,Development (differentiation)
FZD5,Development (differentiation)
FZD6,Development (differentiation)
FZD7,Development (differentiation)
FZD8,Development (differentiation)
FZD9,Development (differentiation)
FZR1,Development (differentiation)
GBX1,Development (differentiation)
GBX2,Development (differentiation)
GDF1,Development (differentiation)
GDF10,Development (differentiation)
GDF11,Development (differentiation)
GDF15,Development (differentiation)
GDF3,Development (differentiation)
GDF5,Development (differentiation)
GDF6,Development (differentiation)
GDF7,Development (differentiation)
GDF9,Development (differentiation)
GDNF,Development (differentiation)
GLIS2,Development (differentiation)
GLIS3,Development (differentiation)
GPM6A,Development (differentiation)
GPM6B,Development (differentiation)
GRHL1,Development (differentiation)
GRHL2,Development (differentiation)
GRHL3,Development (differentiation)
GSC,Development (differentiation)
GSX1,Development (differentiation)
GSX2,Development (differentiation)
HBEGF,Development (differentiation)
HES1,Development (differentiation)
HES2,Development (differentiation)
HES3,Development (differentiation)
HES4,Development (differentiation)
HES5,Development (differentiation)
HES6,Development (differentiation)
HES7,Development (differentiation)
HESX1,Development (differentiation)
HEY1,Development (differentiation)
HEY2,Development (differentiation)
HEYL,Development (differentiation)
HOXA1,Development (differentiation)
HOXA10,Development (differentiation)
HOXA10-AS,Development (differentiation)
HOXA11,Development (differentiation)
HOXA13,Development (differentiation)
HOXA2,Development (differentiation)
HOXA3,Development (differentiation)
HOXA4,Development (differentiation)
HOXA5,Development (differentiation)
HOXA6,Development (differentiation)
HOXA7,Development (differentiation)
HOXA9,Development (differentiation)
HOXB1,Development (differentiation)
HOXB13,Development (differentiation)
HOXB2,Development (differentiation)
HOXB3,Development (differentiation)
HOXB4,Development (differentiation)
HOXB5,Development (differentiation)
HOXB6,Development (differentiation)
HOXB7,Development (differentiation)
HOXB8,Development (differentiation)
